SubmissionDate;instanceID;lugar-Latitude;lugar-Longitude;lugar-Altitude;lugar-Accuracy;tipo;tipo/plastico;tipo/vidro;tipo/lata;tipo/papel;tipo/organico;tipo/outro;outro-lixo;tem-mais;tem-mais/plastico;tem-mais/vidro;tem-mais/lata;tem-mais/papel;tem-mais/organico;tem-mais/outro;foto;observacoes;KEY
;uuid:8e71eda7-186b-4ab2-a426-7d2d41e4eea2;-22.5903535215;-43.4122535493;26;4;outro;0;0;0;0;0;1;Tv;outro;0;0;0;0;0;1;1571404198460.jpg;;uuid:8e71eda7-186b-4ab2-a426-7d2d41e4eea2
;uuid:90a43677-f2d3-4f4a-954a-b4b477f631dd;-22.5942557584;-43.4192881454;31;5;plastico;1;0;0;0;0;0;;plastico;1;0;0;0;0;0;1571402925429.jpg;u;uuid:90a43677-f2d3-4f4a-954a-b4b477f631dd
;uuid:91547f7e-3c2f-4ecb-9dfa-e437a51d3893;-22.5931252493;-43.4217451327;19;4.5;organico;0;0;0;0;1;0;;organico;0;0;0;0;1;0;1571402369278.jpg;Esgoto a céu aberto;uuid:91547f7e-3c2f-4ecb-9dfa-e437a51d3893
;uuid:938ff0d8-c012-4894-9954-6db780dfbac9;-22.5916933687;-43.414838193;35;5;vidro plastico papel outro;1;1;0;1;0;1;;plastico;1;1;1;1;0;0;1571408179362.jpg;;uuid:938ff0d8-c012-4894-9954-6db780dfbac9
;uuid:94a2ac4d-271b-4c93-8680-4005b1e7b584;-22.5893253135;-43.4190780949;14;17;plastico;1;0;0;0;0;0;;plastico;1;0;0;0;0;0;1571403735625.jpg;Lugar para queima de lixos;uuid:94a2ac4d-271b-4c93-8680-4005b1e7b584
;uuid:97092ef5-5e7e-4f2e-aefe-faca083d0e5d;-22.5948607642;-43.419587547;22;4.5;plastico organico;1;0;0;0;1;0;;organico;0;0;0;0;1;0;1571403072743.jpg;;uuid:97092ef5-5e7e-4f2e-aefe-faca083d0e5d
;uuid:9964e8a5-b27e-4227-838f-0bb5e8db5318;-22.5911291828;-43.4141268209;35;5;plastico outro vidro papel;1;1;0;1;0;1;Entulho;papel;1;1;0;1;0;1;1571403752078.jpg;;uuid:9964e8a5-b27e-4227-838f-0bb5e8db5318
;uuid:a32161af-be8f-4e93-93d6-9a1aec053b61;-22.5925002946;-43.4146299027;37;5;outro;0;0;0;0;0;1;Esgoto a céu aberto;outro;0;0;0;0;0;1;1571407217353.jpg;;uuid:a32161af-be8f-4e93-93d6-9a1aec053b61
;uuid:a691ee3d-430c-413a-8b6d-2a7f3fc1074c;-22.5935985334;-43.4198671672;22;5;papel vidro lata;0;1;1;1;0;0;;papel;0;0;0;1;0;0;1571402720827.jpg;;uuid:a691ee3d-430c-413a-8b6d-2a7f3fc1074c
;uuid:ab189da3-247d-4b0e-9097-fb14b68590f4;-22.5972355669;-43.4168595728;18;5;plastico;1;0;0;0;0;0;;plastico;1;0;0;0;0;0;1571404034850.jpg;;uuid:ab189da3-247d-4b0e-9097-fb14b68590f4
;uuid:ab806b3d-5451-41da-af3d-6b7dc2419abc;-22.5963244541;-43.4203400742;36;4.5;outro;0;0;0;0;0;1;Valão;outro;0;0;0;0;0;1;1571404901247.jpg;;uuid:ab806b3d-5451-41da-af3d-6b7dc2419abc
;uuid:ac9e0469-2d54-48ee-af3d-c6e46786e8f0;-22.589754886;-43.4184511285;32;5;plastico organico;1;0;0;0;1;0;;organico;1;0;0;0;1;0;1571403512558.jpg;Eles largaram o lixo;uuid:ac9e0469-2d54-48ee-af3d-c6e46786e8f0
;uuid:ad60359a-7023-45d8-a4de-9ca72313e823;-22.5898370156;-43.4133151273;25.8141577467;4.9;plastico organico;1;0;0;0;1;0;;organico;0;0;0;0;1;0;1571404466091.jpg;;uuid:ad60359a-7023-45d8-a4de-9ca72313e823
;uuid:ae0ba766-9a3d-42dd-8294-9acf6cc78adf;-22.5955682807;-43.4180356376;20;5;plastico;1;0;0;0;0;0;;plastico;1;0;0;0;0;0;1571404388629.jpg;;uuid:ae0ba766-9a3d-42dd-8294-9acf6cc78adf
;uuid:b58f45ea-3f27-4724-8f34-bf92b1b2a3b9;-22.5931223994;-43.4214260336;29;4;plastico vidro lata papel outro;1;1;1;1;0;1;Tv;plastico;1;1;1;1;0;1;1571402496779.jpg;;uuid:b58f45ea-3f27-4724-8f34-bf92b1b2a3b9
;uuid:b742bd45-f241-41ba-81b8-f7d3a5f15328;-22.5932836672;-43.4219026286;18;5;plastico;1;0;0;0;0;0;;plastico;1;0;0;0;0;0;1571401479863.jpg;;uuid:b742bd45-f241-41ba-81b8-f7d3a5f15328
;uuid:b8d5a2fd-d02f-4c3f-88bc-300181888235;-22.5955178216;-43.4199745394;28;3.5;outro plastico;1;0;0;0;0;1;Entulho;outro;1;0;0;0;0;1;1571404778546.jpg;;uuid:b8d5a2fd-d02f-4c3f-88bc-300181888235
;uuid:b8f226e6-506f-49ff-b7a7-3712482c6820;-22.5970524643;-43.4204424173;36;4.5;outro;0;0;0;0;0;1;Queimada;outro;0;0;0;0;0;1;1571404994706.jpg;;uuid:b8f226e6-506f-49ff-b7a7-3712482c6820
;uuid:b938ba48-b946-4ce5-b80c-0e8ee4f6f8de;-22.5959162554;-43.4197513293;29;5;plastico;1;0;0;0;0;0;;plastico;1;0;0;0;0;0;1571403267701.jpg;;uuid:b938ba48-b946-4ce5-b80c-0e8ee4f6f8de
